promney,rfrac
0.0477903522728,0.0
0.0511994549171,0.01
0.0547992916996,0.02
0.0585963130405,0.03
0.0625968727909,0.04
0.0668072012689,0.05
0.071233377414,0.06
0.0758813001723,0.07
0.0807566592338,0.08
0.0858649052574,0.09
0.0912112197259,0.1
0.0968004845856,0.11
0.102637251832,0.12
0.108725713213,0.13
0.115069670222,0.14
0.121672504574,0.15
0.128537149342,0.16
0.135666060946,0.17
0.143061192196,0.18
0.150723966569,0.19
0.158655253931,0.2
0.166855347872,0.21
0.175323944852,0.22
0.184060125347,0.23
0.193062337142,0.24
0.202328380964,0.25
0.211855398583,0.26
0.221639863544,0.27
0.231677574635,0.28
0.241963652223,0.29
0.252492537547,0.3
0.263257995039,0.31
0.27425311775,0.32
0.285470335901,0.33
0.296901428604,0.34
0.302363705637,0.344715713763
0.308537538726,0.35
0.320369190901,0.36
0.332386312627,0.37
0.34457825839,0.38
0.356933836737,0.39
0.369441340182,0.4
0.382088577811,0.41
0.394862910464,0.42
0.407751288297,0.43
0.417547785131,0.437548745744
0.420740290561,0.44
0.433816167389,0.45
0.446964883376,0.46
0.460172162723,0.47
0.4734235357,0.48
0.486704386183,0.49
0.492789946596,0.494577827691
0.493411169387,0.495045049995
0.5,0.5
0.513295613817,0.51
0.5265764643,0.52
0.528242383876,0.521255718176
0.53533752448,0.526608256625
0.539827837277,0.53
0.544810726538,0.533768322344
0.547716497566,0.535968242653
0.548544196158,0.536595231099
0.553035116624,0.54
0.566183832611,0.55
0.573736094456,0.555768229232
0.579259709439,0.56
0.588313518593,0.566962655606
0.592248711703,0.57
0.605137089536,0.58
0.606589990025,0.581132682743
0.609424856692,0.583346098064
0.612955910551,0.586109458683
0.617911422189,0.59
0.622697905386,0.59377225715
0.624456690361,0.595162068165
0.62606244356,0.596432737063
0.630011552167,0.599565182829
0.630558659818,0.6
0.636327466138,0.604597804063
0.639042981334,0.606770568206
0.641948667111,0.609101715955
0.642995244661,0.609942963817
0.643066163263,0.61
0.647534970321,0.613602161068
0.65542174161,0.62
0.655746750038,0.620264804946
0.65874565894,0.622712664188
0.667613687373,0.63
0.668447596739,0.630689163061
0.668477164595,0.630713611303
0.669624806347,0.631663214171
0.675252894712,0.6363394863
0.676189499008,0.637120887523
0.67716404963,0.637934935907
0.679630809099,0.64
0.680959550906,0.641115113942
0.684340525531,0.643961373544
0.684511698752,0.644105818069
0.689495096953,0.648325909118
0.691462461274,0.65
0.693924870158,0.652101949208
0.700515493308,0.657765110628
0.701777520435,0.65885591997
0.703098571396,0.66
0.704386953057,0.661118032911
0.711362771124,0.667211088011
0.713591014561,0.66917185977
0.71435176088,0.66984294239
0.714529664099,0.67
0.716489510427,0.671733304102
0.719473839046,0.674383748821
0.723402016627,0.677893359134
0.72574688225,0.68
0.726067497102,0.680288730915
0.726772002437,0.680923763485
0.736742004961,0.69
0.739766777382,0.692787967749
0.74749804122,0.699991152419
0.747507462453,0.7
0.749199572076,0.701591913831
0.749555041874,0.701927056203
0.751081717126,0.703369306523
0.753019536002,0.705206764272
0.753152024492,0.705332671896
0.758036347777,0.71
0.758115441885,0.710075996918
0.760224444215,0.712107418101
0.764817806672,0.71656588914
0.766419585329,0.71813189508
0.766587121015,0.718296032311
0.768322425365,0.72
0.769543528222,0.721203317215
0.771657899402,0.723295356812
0.772698186207,0.72432864925
0.776003330974,0.727629403743
0.777414988261,0.729047604075
0.778360136456,0.73
0.782715976601,0.734419604227
0.788144601417,0.74
0.789358038275,0.741258729916
0.789744049954,0.741660041005
0.792924591994,0.744983274203
0.794833679786,0.746992518724
0.796405197804,0.748654833991
0.797580142413,0.74990266718
0.797671619036,0.75
0.79915732095,0.751584517328
0.799338037733,0.751777732515
0.805487938966,0.758416542159
0.805731935732,0.758682542539
0.806937662858,0.76
0.808113160108,0.761289271476
0.808735069586,0.761973329892
0.809565504906,0.762888882156
0.81585707675,0.769906661891
0.815939874653,0.77
0.820175857795,0.774810644981
0.824676055148,0.78
0.832857152481,0.789655238007
0.833144652128,0.79
0.833229649325,0.790101999772
0.833368420289,0.790268602158
0.83749401098,0.795263178152
0.841344746069,0.8
0.843399123886,0.802557962642
0.849008843471,0.809657516045
0.849276033431,0.81
0.851741936639,0.813180070084
0.853322613431,0.815237180549
0.856628532203,0.819588181112
0.856938807804,0.82
0.859388910862,0.823273363861
0.863248319524,0.828509090866
0.864333939054,0.83
0.864489009451,0.830213628095
0.864987380448,0.830901330555
0.864989143021,0.830903765816
0.866761030084,0.833363019536
0.869525101119,0.837244716406
0.871462850658,0.84
0.876867941866,0.847841399008
0.878327495426,0.85
0.884930329778,0.86
0.891274286787,0.87
0.892028715586,0.87121680652
0.897362748168,0.88
0.901328281702,0.886747163923
0.903199515414,0.89
0.908788780274,0.9
0.914135094743,0.91
0.916956308791,0.915465747141
0.919243340766,0.92
0.924118699828,0.93
0.928766622586,0.94
0.933192798731,0.95
0.937403127209,0.96
0.94140368696,0.97
0.9452007083,0.98
0.948800545083,0.99
